Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_qsort1;main;11;8;11;0;770;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;12;8;11;0;274;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;13;8;11;0;309;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;14;8;11;0;511;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;15;8;11;0;705;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;16;8;11;0;2300;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;17;8;11;0;316;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;18;8;11;0;236;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;19;8;11;0;1300;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main;20;8;11;0;200;14;23.le;0;14;1;14;1;14_.ph.lr.ph;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main1;1;21;29;0;8170352;"18;21;28";92;0;18;1;75;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main1;2;21;29;0;8688420;"18;21;28";92;0;18;1;75;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
automotive_qsort1;main1;3;21;29;0;8488242;"18;21;28";92;0;18;1;75;0;18;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_qsort1
